year_1;Year;localidad;ambiente;sitio;meso_ ambiente;ncasa;tnoches05;Rr;Mm;season;urbano;urbano50;urbano100;urbano150;urbano200;urbano250;NDVI;NDVI50;NDVI100;NDVI150;NDVI200;NDVI250;Prec_semana;TempMedia_semana;MINTEM30;MAXTEM30;MEDTEM30;MINTEM60;MAXTEM60;MEDTEM60;MINTEM90;MAXTEM90;MEDTEM90;MAXPREC30;MEDPREC30;MAXPREC60;MEDPREC60;MAXPREC90;MEDPREC90;PRECIPACUM_30;PRECIPACUM_60;PRECIPACUM_90;Altpastocm;Cobarborea;broza;tierra;dist_arroyo_m;dist_basurales;dist_ANP;prec_diaria;tempMax_diaria;tempMin_diaria;ONI_PROM_TRIM;VivTipo;VivPiso;VivPared;VivTecho;macro_ambiente;pres_Da;pres_anim_cria;pres_animestima;pres_cultivos;pres_basura_chatarra;pres_galpon
2017;1;PtoIguazu;UA;ciudad;households;11;28.5;0;0;oto.inv;-0.02667;-0.018344768;-0.011665041;-0.008763987;-0.011370613;-0.009393828;0.295405954;0.116543817;0.117840955;0.117892626;0.121590344;0.12326026;0;20.85;12.32;22.98;17.65;16.3;24.51935484;20.40967742;16.47666667;25.87333333;20.99;38;15.3;62.5;26.70833333;102;28.77777778;76.5;320.5;259;12.5;62.5;37.5;12.5;609.3625551;2261.092915;3136.513539;0;27.6;14;0.1;1;1;1;0;URBANO;0;0;0;0;0;0
2017;1;PtoIguazu;UA;ciudad;households;12;28.5;0;0;oto.inv;-0.11275;-0.111399803;-0.100370381;-0.092068014;-0.075816809;-0.06773474;0.144997641;0.22893635;0.22195666;0.206879134;0.169574138;0.133957635;0;20.85;12.32;22.98;17.65;16.3;24.51935484;20.40967742;16.47666667;25.87333333;20.99;38;15.3;62.5;26.70833333;102;28.77777778;76.5;320.5;259;12.5;87.5;12.5;12.5;535.9983479;2320.967401;3995.708362;0;27.6;14;0.1;1;2;2;0;URBANO;0;0;0;0;0;1
2017;1;PtoIguazu;UA;ciudad;households;13;29.5;0;0;oto.inv;-0.03751;-0.02874266;-0.003321487;-0.000326061;-0.00363868;-0.003221065;0.285764664;0.138459252;0.125301239;0.114466324;0.117572353;0.115848728;0;20.85;12.32;22.98;17.65;16.3;24.51935484;20.40967742;16.47666667;25.87333333;20.99;38;15.3;62.5;26.70833333;102;28.77777778;76.5;320.5;259;0;12.5;12.5;87.5;701.2645086;2118.760656;2826.511051;0;27.6;14;0.1;1;2;2;1;URBANO;0;0;0;0;0;0
2017;1;PtoIguazu;UA;ciudad;households;14;30;0;0;oto.inv;-0.01419;-0.021175238;-0.026204393;-0.031033329;-0.028400895;-0.026256005;0.434092283;0.151122848;0.155293975;0.161505545;0.166585266;0.16709183;0;20.85;12.32;22.98;17.65;16.3;24.51935484;20.40967742;16.47666667;25.87333333;20.99;38;15.3;62.5;26.70833333;102;28.77777778;76.5;320.5;259;37.5;12.5;37.5;12.5;588.5314831;3709.492431;4505.262169;0;27.6;14;0.1;1;2;2;0;URBANO;0;0;0;0;0;0
2017;1;PtoIguazu;UA;ciudad;households;15;30;3;0;oto.inv;-0.11574;-0.085768666;-0.07006826;-0.07232293;-0.068976023;-0.067133771;0.312624514;0.206677447;0.211948616;0.207619841;0.205264827;0.201626872;0;20.85;12.32;22.98;17.65;16.3;24.51935484;20.40967742;16.47666667;25.87333333;20.99;38;15.3;62.5;26.70833333;102;28.77777778;76.5;320.5;259;12.5;62.5;12.5;37.5;908.9767813;3967.952046;4819.330831;0;27.6;14;0.1;1;2;2;0;URBANO;0;0;0;0;0;1
2017;1;PtoIguazu;UA;ciudad;households;1;30;0;0;prim.ver;-0.01596;-0.075657522;-0.078228272;-0.078565614;-0.074376765;-0.07870968;0.366060495;0.277306732;0.276867044;0.264919533;0.265267535;0.265099377;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;12.5;12.5;12.5;12.5;388.0564462;3104.487115;3119.046222;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;0;1;0;0
2017;1;PtoIguazu;UA;ciudad;households;2;30;0;0;prim.ver;-0.00897;-0.049051785;-0.050036972;-0.056850433;-0.060711846;-0.065474108;0.194028333;0.225901345;0.228299177;0.244033748;0.253929711;0.254544213;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;12.5;37.5;12.5;12.5;2511.200138;3452.167627;4085.953846;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;0;1;0;0
2017;1;PtoIguazu;UA;ciudad;households;3;30;0;0;prim.ver;-0.06385;-0.073927566;-0.085685489;-0.096280421;-0.116041409;-0.134736995;0.505372345;0.264224728;0.280761275;0.288244232;0.315468824;0.315343811;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;12.5;12.5;12.5;12.5;193.7199883;2467.690032;5108.955042;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;0;1;0;0
2017;1;PtoIguazu;UA;ciudad;households;4;30;0;0;prim.ver;0.01315;-0.048634424;-0.050540001;-0.063900792;-0.066392671;-0.072389973;0.309386969;0.186774956;0.217313023;0.242922898;0.255574726;0.258348205;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;12.5;37.5;12.5;12.5;1187.604369;2835.704599;4085.953846;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;0;0;0;0
2017;1;PtoIguazu;UA;ciudad;households;5;30;0;0;prim.ver;0.05548;-0.028439878;-0.046996382;-0.067882989;-0.076053147;-0.070890341;0.389793992;0.205530936;0.231212979;0.255501549;0.255396808;0.248536685;10;21.51;16.50322581;27.83870968;22.17096774;17.38;30.75;24.065;13.51612903;26.67096774;20.09354839;82;20.72222222;13;4.866666667;94;27.57142857;29.2;193;9;12.5;37.5;12.5;12.5;395.5479142;2437.941139;2148.201849;0;25;18.6;-0.83;1;2;2;0;URBANO;0;0;0;0;0;0
